"id","sale","units","rating","product","industry","country","return.client","year","sale.per.unit","rating.level","priority"
"3319288385",10030,71,4.608165695,"Series A","tech","Other",0,"2014",141.267605633803,"satisfactory",0
"3319288377",5499,62,4.007151351,"Series A","environmental","Switzerland",0,"2014",88.6935483870968,"satisfactory",0
"8132227255",32650,368,5.788429949,"Series C","tech","Other",0,"2014",88.7228260869565,"excellent",0
"8132227239",17900,368,5.187385806,"Series C","biotech","Other",0,"2014",48.6413043478261,"excellent",0
"128048425",27792,232,5.627333302,"Series A","tech","Other",0,"2014",119.793103448276,"excellent",0
"128046910",19300,232,5.262690189,"Series A","biotech","United Kingdom",0,"2014",83.1896551724138,"excellent",0
"128052198",20448,194,5.320470171,"Series A","tech","United States",1,"2014",105.40206185567,"excellent",0
"3319225189",32650,707,5.788429949,"Series C","tech","Switzerland",0,"2014",46.1810466760962,"excellent",0
"3319225219",32650,656,5.788429949,"Series C","tech","Other",0,"2014",49.7713414634146,"excellent",0
"128051795",22032,534,5.395081035,"Series A","tech","United States",1,"2014",41.2584269662921,"excellent",0
"1138148849",16500,336,5.105945474,"Series B","biotech","Other",0,"2014",49.1071428571429,"excellent",0
"4431558268",5999,263,4.094177882,"Series A","biotech","Other",0,"2014",22.8098859315589,"satisfactory",0
"303432006X",10795,396,4.681668157,"Delta","biotech","Other",0,"2014",27.260101010101,"satisfactory",0
"3319432788",36298,314,5.894347736,"Series C","tech","Other",0,"2014",115.59872611465,"excellent",0
"8177084208",3850,181,3.650658241,"Series C","biotech","Other",0,"2014",21.2707182320442,"poor",0
"144389818X",11328,573,4.72986263,"Series A","tech","Other",0,"2014",19.7696335078534,"satisfactory",0
"1443894745",10795,573,4.681668157,"Series A","biotech","United Kingdom",0,"2014",18.8394415357766,"satisfactory",0
"3319322540",12900,264,4.859812404,"Series C","biotech","Other",0,"2014",48.8636363636364,"satisfactory",0
"8132226593",29002,210,5.669949886,"Series A","tech","Other",0,"2014",138.104761904762,"excellent",0
"8132226577",15900,210,5.068904202,"Series A","biotech","Other",0,"2014",75.7142857142857,"excellent",0
"9811018995",10030,68,4.608165695,"Delta","tech","Other",0,"2014",147.5,"satisfactory",0
"1498730221",16794,300,5.123606773,"Delta","tech","United States",1,"2014",55.98,"excellent",0
"1498714838",26394,622,5.575721805,"Delta","tech","Other",1,"2014",42.4340836012862,"excellent",0
"1486304648",5634,152,4.031404762,"Series C","tech","Other",0,"2014",37.0657894736842,"satisfactory",0
"1498755992",21594,617,5.375000591,"Series C","tech","United States",1,"2014",34.998379254457,"excellent",0
"1634854187",12217,144,4.805413517,"Series A","environmental","Other",1,"2014",84.8402777777778,"satisfactory",0
"1780648685",14000,210,4.941642423,"Series C","biotech","United Kingdom",0,"2014",66.6666666666667,"satisfactory",0
"012803436X",14393,342,4.96932707,"Series A","tech","Other",0,"2014",42.0847953216374,"satisfactory",0
"1134654871",15000,325,5.010635294,"Series A","tech","Other",0,"2014",46.1538461538462,"excellent",0
"8132227778",17900,299,5.187385806,"Series A","biotech","Other",0,"2014",59.866220735786,"excellent",0
"8132227166",32650,492,5.788429949,"Series A","tech","Other",0,"2014",66.3617886178862,"excellent",0
"813222714X",17900,492,5.187385806,"Series A","biotech","Other",0,"2014",36.3821138211382,"excellent",0
"1634838238",26998,274,5.598347882,"Series A","biotech","Other",1,"2014",98.5328467153285,"excellent",0
"444635793",25500,450,5.541263545,"Delta","biotech","Other",0,"2014",56.6666666666667,"excellent",0
"128045809",18000,247,5.192956851,"Delta","tech","Other",0,"2014",72.8744939271255,"excellent",0
"128036486",28800,400,5.66296048,"Series A","tech","Other",0,"2014",72,"excellent",0
"1482230755",27594,816,5.620183451,"Series C","tech","United States",1,"2014",33.8161764705882,"excellent",0
"8132236130",36298,282,5.894347736,"Series C","tech","Other",0,"2014",128.716312056738,"excellent",0
"8132236114",19900,282,5.293304825,"Series C","biotech","Other",0,"2014",70.5673758865248,"excellent",0
"1603585710",7500,512,4.317488114,"Series B","biotech","Other",1,"2014",14.6484375,"satisfactory",0
"3319381016",34900,404,5.855071922,"Series A","environmental","Other",0,"2014",86.3861386138614,"excellent",0
"4431557652",12900,224,4.859812404,"Series A","biotech","Other",0,"2014",57.5892857142857,"satisfactory",0
"1609384377",5500,331,4.007333185,"Series B","environmental","Other",1,"2014",16.6163141993958,"satisfactory",0
"1780643667",16000,272,5.075173815,"Series C","biotech","Other",0,"2014",58.8235294117647,"excellent",0
"1498769764",16995,612,5.135504276,"Series C","biotech","Other",1,"2014",27.7696078431373,"excellent",0
"1780648901",6000,80,4.094344562,"Series B","environmental","Other",0,"2014",75,"satisfactory",0
"1138970905",4795,176,3.870158801,"Series B","environmental","Other",0,"2014",27.2443181818182,"poor",0
"128098600",14393,126,4.96932707,"Series C","tech","Other",0,"2014",114.230158730159,"satisfactory",0
"3319483560",18900,659,5.241747015,"Series A","biotech","Switzerland",0,"2014",28.6798179059181,"excellent",0
"3319483536",18900,599,5.241747015,"Series A","biotech","Other",0,"2014",31.5525876460768,"excellent",0
"3662515016",16900,520,5.129898715,"Series A","environmental","Other",0,"2014",32.5,"excellent",0
"3662525542",16900,564,5.129898715,"Series A","environmental","Other",0,"2014",29.9645390070922,"excellent",0
"9811025584",45418,561,6.118493595,"Series A","tech","Other",0,"2014",80.9590017825312,"excellent",0
"128035587",18000,558,5.192956851,"Series B","tech","United States",1,"2014",32.258064516129,"excellent",0
"1771882611",17994,422,5.192623462,"Series A","tech","Other",0,"2014",42.6398104265403,"excellent",0
"300220820",5400,416,3.988984047,"Series C","tech","Other",0,"2014",12.9807692307692,"poor",0
"3319329197",32650,341,5.788429949,"Series A","tech","Other",0,"2014",95.7478005865103,"excellent",0
"3319288997",45418,538,6.118493595,"Series C","tech","Switzerland",0,"2014",84.4200743494424,"excellent",0
"3319194054",29002,183,5.669949886,"Series C","tech","Other",0,"2014",158.48087431694,"excellent",0
"128032669",18000,764,5.192956851,"Series C","tech","Other",0,"2014",23.5602094240838,"excellent",0
"1482247860",23994,625,5.480388892,"Series B","tech","Other",1,"2014",38.3904,"excellent",0
"3319298070",24900,567,5.517452896,"Series A","biotech","Other",0,"2014",43.9153439153439,"excellent",0
"1498756581",20394,297,5.317825833,"Series A","tech","Other",0,"2014",68.6666666666667,"excellent",0
"9401772762",35880,670,5.88276513,"Series C","tech","Other",0,"2014",53.5522388059701,"excellent",0
"128011513",28800,648,5.66296048,"Series A","tech","United States",1,"2014",44.4444444444444,"excellent",0
"81014732",28000,432,5.634789603,"Series A","environmental","Other",0,"2014",64.8148148148148,"excellent",0
"128017287",18720,324,5.232177564,"Series A","tech","Other",1,"2014",57.7777777777778,"excellent",0
"1138215295",5495,270,4.006423681,"Series B","environmental","Other",0,"2014",20.3518518518519,"satisfactory",0
"022639011X",5400,285,3.988984047,"Series C","tech","Other",1,"2014",18.9473684210526,"poor",1
"022639008X",4500,285,3.80666249,"Series C","biotech","Other",1,"2014",15.7894736842105,"poor",1
"9264238654",5040,159,3.919991175,"Series A","tech","Other",0,"2014",31.6981132075472,"poor",0
"9264238646",4200,159,3.737669618,"Series A","environmental","Other",0,"2014",26.4150943396226,"poor",0
"1400883628",5994,375,4.093344062,"Series C","tech","Other",1,"2014",15.984,"satisfactory",0
"1623493706",8400,288,4.430816799,"Series A","tech","United States",1,"2014",29.1666666666667,"satisfactory",0
"1623493692",3500,288,3.555348061,"Series A","biotech","Other",1,"2014",12.1527777777778,"poor",1
"3034809808",29002,182,5.669949886,"Series A","tech","Other",0,"2014",159.351648351648,"excellent",0
"3034809786",15900,182,5.068904202,"Series A","biotech","Other",0,"2014",87.3626373626374,"excellent",0
"1440843716",4440,222,3.793239469,"Series B","tech","Other",1,"2014",20,"poor",1
"9813100370",27720,320,5.624739267,"Series A","tech","Other",0,"2014",86.625,"excellent",0
"029580646X",10800,311,4.682131227,"Series B","tech","United States",1,"2014",34.7266881028939,"satisfactory",0
"131547008X",17400,296,5.159055299,"Series B","tech","Other",0,"2014",58.7837837837838,"excellent",0
"3662485338",15900,265,5.068904202,"Series A","biotech","Other",0,"2014",60,"excellent",0
"3662485354",19080,265,5.251225759,"Series A","tech","Other",0,"2014",72,"excellent",0
"1489976795",22900,803,5.433722004,"Series B","biotech","Other",1,"2014",28.5180572851806,"excellent",0
"1489976817",41770,803,6.034763472,"Series B","tech","Other",1,"2014",52.0174346201743,"excellent",0
"1498724922",23994,484,5.480388892,"Series C","tech","United States",1,"2014",49.5743801652893,"excellent",0
"309437873",7900,217,4.369447852,"Series A","environmental","Other",1,"2014",36.4055299539171,"satisfactory",0
"128052163",24624,296,5.50630667,"Series A","tech","Other",0,"2014",83.1891891891892,"excellent",0
"1536103365",8200,126,4.406719247,"Series A","environmental","United States",1,"2014",65.0793650793651,"satisfactory",0
"1482227797",9594,202,4.563722996,"Series B","tech","Other",1,"2014",47.4950495049505,"satisfactory",0
"1482234599",33594,595,5.816932573,"Series B","tech","Other",1,"2014",56.4605042016807,"excellent",0
"8132227026",18900,258,5.241747015,"Series A","biotech","Other",0,"2014",73.2558139534884,"excellent",0
"1498732887",8394,209,4.430102258,"Series B","tech","Other",1,"2014",40.1626794258373,"satisfactory",0
"1439849080",9594,289,4.563722996,"Series B","tech","Other",1,"2014",33.19723183391,"satisfactory",0
"1439849056",7995,289,4.381401439,"Series B","biotech","United States",1,"2014",27.6643598615917,"satisfactory",0
"1317118634",17994,264,5.192623462,"Series A","tech","Other",0,"2014",68.1590909090909,"excellent",0
"1464808325",3500,124,3.555348061,"Series B","environmental","Other",1,"2014",28.2258064516129,"poor",1
"1464808961",3500,136,3.555348061,"Series C","environmental","United States",1,"2014",25.7352941176471,"poor",1
"9385516191",10899,355,4.691256135,"Series B","biotech","Other",0,"2014",30.7014084507042,"satisfactory",0
"012801847X",17280,372,5.152134856,"Series A","tech","United Kingdom",0,"2014",46.4516129032258,"excellent",0
"1107139686",11200,360,4.718498871,"Series C","biotech","Other",0,"2014",31.1111111111111,"satisfactory",0
"128053852",25200,476,5.529429088,"Series A","tech","Other",0,"2014",52.9411764705882,"excellent",0
"3319317865",15900,386,5.068904202,"Series C","biotech","Other",0,"2014",41.1917098445596,"excellent",0
"3319317881",29002,386,5.669949886,"Series C","tech","Other",0,"2014",75.1347150259067,"excellent",0
"1771882913",20394,400,5.317825833,"Series C","tech","Other",0,"2014",50.985,"excellent",0
"1634853644",14173,188,4.953923839,"Series A","biotech","Other",1,"2014",75.3882978723404,"satisfactory",0
"8132227689",24900,519,5.517452896,"Series C","biotech","Other",0,"2014",47.9768786127168,"excellent",0
"8132227700",45418,519,6.118493595,"Series C","tech","Other",0,"2014",87.5105973025048,"excellent",0
"9402409246",32650,312,5.788429949,"Series A","tech","Other",0,"2014",104.647435897436,"excellent",0
"1486303978",5394,201,3.987872318,"Series A","tech","Other",0,"2014",26.8358208955224,"poor",0
"1785481037",16500,496,5.105945474,"Series A","biotech","Other",0,"2014",33.2661290322581,"excellent",0
"9811018480",32650,435,5.788429949,"Series A","tech","Other",0,"2014",75.0574712643678,"excellent",0
"1498742882",15594,302,5.049471318,"Series B","tech","United States",1,"2014",51.635761589404,"excellent",0
"177188391X",19194,437,5.257182823,"Series C","tech","Other",0,"2014",43.9221967963387,"excellent",0
"1493939548",7995,262,4.381401439,"Series A","environmental","Other",1,"2014",30.5152671755725,"satisfactory",0
"8132226445",36298,343,5.894347736,"Series A","tech","Other",0,"2014",105.825072886297,"excellent",0
"8132226453",17900,343,5.187385806,"Series A","biotech","Other",0,"2014",52.1865889212828,"excellent",0
"8132226429",19900,343,5.293304825,"Series A","biotech","Other",0,"2014",58.0174927113703,"excellent",0
"1780408137",4500,71,3.80666249,"Series B","environmental","Other",0,"2014",63.3802816901408,"poor",0
"1780408145",4559,76,3.819688394,"Series B","tech","Other",0,"2014",59.9868421052632,"poor",0
"128096896",17280,268,5.152134856,"Series C","tech","United Kingdom",0,"2014",64.4776119402985,"excellent",0
"128037148",18000,484,5.192956851,"Series A","tech","Other",0,"2014",37.1900826446281,"excellent",0
"128043830",18720,526,5.232177564,"Series A","tech","Other",0,"2014",35.5893536121673,"excellent",0
